VARIANT	REF	WORKTREE	PATH	FAMILY	SCOPE	SAME_AS	PASS_1	PASS_2	PASS_3	DRIFT	NOTE
codex/held-reference-corpus:benchmarks/cli.py	codex/held-reference-corpus | codex/sdd-coherence	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/cli.py	benchmarks, quality metrics, comparison, and visualization	included	codex/sdd-coherence:benchmarks/cli.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/auditor-convergence-sdd:benchmarks/cli.py	codex/auditor-convergence-sdd | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd	benchmarks/cli.py	benchmarks, quality metrics, comparison, and visualization	included	codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/cli.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
jf/toolpath-redesign:benchmarks/congruence.py	jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/congruence.py	benchmarks, quality metrics, comparison, and visualization	included	codex/held-reference-corpus:benchmarks/congruence.py | codex/auditor-convergence-sdd:benchmarks/congruence.py | codex/sdd-coherence:benchmarks/congruence.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/congruence.py | perf/exact-rational-representation:benchmarks/congruence.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/coverage.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/coverage.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/coverage.py | codex/sdd-coherence:benchmarks/coverage.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/coverage.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/degeneracy.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/degeneracy.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/degeneracy.py | codex/sdd-coherence:benchmarks/degeneracy.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/degeneracy.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/depletion.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/depletion.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/depletion.py | codex/sdd-coherence:benchmarks/depletion.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/depletion.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
jf/toolpath-redesign:benchmarks/errors.py	jf/toolpath-redesign | perf/exact-rational-representation	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs	benchmarks/errors.py	benchmarks, quality metrics, comparison, and visualization	included	perf/exact-rational-representation:benchmarks/errors.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/errors.py	codex/held-reference-corpus	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus	benchmarks/errors.py	benchmarks, quality metrics, comparison, and visualization	included		not-started	not-started	not-started	clean	Refreshed after pre-Pass-1 Held advance from 3a02107 to 5fd39ce; no pass stale; Cross-family dependency: measured capability resolved during Pass 1
codex/auditor-convergence-sdd:benchmarks/errors.py	codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/errors.py	benchmarks, quality metrics, comparison, and visualization	included	codex/sdd-coherence:benchmarks/errors.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/errors.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/exceedance.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/exceedance.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/exceedance.py | codex/sdd-coherence:benchmarks/exceedance.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/exceedance.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/external.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/external.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/external.py | codex/sdd-coherence:benchmarks/external.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/external.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
jf/toolpath-redesign:benchmarks/families/__init__.py	jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/__init__.py	benchmarks, quality metrics, comparison, and visualization	included	codex/held-reference-corpus:benchmarks/families/__init__.py | codex/auditor-convergence-sdd:benchmarks/families/__init__.py | codex/sdd-coherence:benchmarks/families/__init__.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/__init__.py | perf/exact-rational-representation:benchmarks/families/__init__.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
jf/toolpath-redesign:benchmarks/families/analytic.py	jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/analytic.py	benchmarks, quality metrics, comparison, and visualization	included	codex/held-reference-corpus:benchmarks/families/analytic.py | codex/auditor-convergence-sdd:benchmarks/families/analytic.py | codex/sdd-coherence:benchmarks/families/analytic.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/analytic.py | perf/exact-rational-representation:benchmarks/families/analytic.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/families/complexity.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/complexity.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/families/complexity.py | codex/sdd-coherence:benchmarks/families/complexity.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/complexity.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/families/necks.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/necks.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/families/necks.py | codex/sdd-coherence:benchmarks/families/necks.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/necks.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/families/precision.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/precision.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/families/precision.py | codex/sdd-coherence:benchmarks/families/precision.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/precision.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/families/topology.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/families/topology.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/families/topology.py | codex/sdd-coherence:benchmarks/families/topology.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/families/topology.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/figure6.py	codex/held-reference-corpus | codex/sdd-coherence	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/figure6.py	benchmarks, quality metrics, comparison, and visualization	included	codex/sdd-coherence:benchmarks/figure6.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/auditor-convergence-sdd:benchmarks/figure6.py	codex/auditor-convergence-sdd | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd	benchmarks/figure6.py	benchmarks, quality metrics, comparison, and visualization	included	codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/figure6.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/figures.py	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/figures.py	benchmarks, quality metrics, comparison, and visualization	included	codex/auditor-convergence-sdd:benchmarks/figures.py | codex/sdd-coherence:benchmarks/figures.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/figures.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/gate.py	codex/held-reference-corpus | codex/sdd-coherence	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/gate.py	benchmarks, quality metrics, comparison, and visualization	included	codex/sdd-coherence:benchmarks/gate.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/auditor-convergence-sdd:benchmarks/gate.py	codex/auditor-convergence-sdd | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd	benchmarks/gate.py	benchmarks, quality metrics, comparison, and visualization	included	codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/gate.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
codex/held-reference-corpus:benchmarks/held_reference_geometry.py	codex/held-reference-corpus	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus	benchmarks/held_reference_geometry.py	benchmarks, quality metrics, comparison, and visualization	included		not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
jf/toolpath-redesign:benchmarks/instrument.py	jf/toolpath-redesign	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs	benchmarks/instrument.py	benchmarks, quality metrics, comparison, and visualization	included		not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
